'volatile acidity',chlorides,'free sulfur dioxide',density,sulphates,alcohol,Cluster,quality
0.54,0.06,21,0.9949,0.37,9,cluster0,5
0.22,0.053,34,0.9929,0.77,10.6,cluster5,6
0.2,0.05,51,0.9985,0.6,9.2,cluster5,6
0.34,0.063,47,0.9946,0.42,10,cluster2,5
0.22,0.047,42,0.9966,0.46,9.5,cluster5,6
0.43,0.045,54,0.9974,0.45,8.7,cluster2,5
0.44,0.044,52,0.9975,0.46,8.7,cluster5,6
0.39,0.044,55,0.9974,0.44,8.7,cluster5,6
0.25,0.05,69,0.9972,0.48,9.7,cluster5,6
0.43,0.045,54,0.9974,0.45,8.7,cluster2,5
0.44,0.044,52,0.9975,0.46,8.7,cluster5,6
0.39,0.044,55,0.9974,0.44,8.7,cluster5,6
0.27,0.049,65,0.9957,0.47,9,cluster2,5
0.24,0.035,47,0.99,0.4,12.6,cluster3,7
0.21,0.034,48,0.9899,0.41,12.6,cluster3,7
0.17,0.04,51,0.9916,0.44,11.5,cluster3,7
0.26,0.044,62,0.9969,0.42,9.2,cluster5,6
0.34,0.046,26,0.9979,0.5,8.8,cluster5,6
0.265,0.034,15,0.9913,0.36,11.4,cluster3,7
0.36,0.038,4,0.9956,0.3,10.1,cluster1,4
0.34,0.046,26,0.9979,0.5,8.8,cluster5,6
0.25,0.06,52,0.9975,0.44,9.1,cluster2,5
0.12,0.054,64,0.9962,0.41,9.4,cluster2,5
0.21,0.05,55,0.997,0.39,9.4,cluster2,5
0.305,0.059,44,1,0.46,9,cluster2,5
0.25,0.06,52,0.9975,0.44,9.1,cluster2,5
0.13,0.051,34,0.9974,0.35,9.2,cluster5,6
0.12,0.054,64,0.9962,0.41,9.4,cluster2,5
0.23,0.04,60,0.999,0.59,9.1,cluster5,6
0.23,0.04,60,0.999,0.59,9.1,cluster5,6
0.33,0.051,37,0.9927,0.6,10.3,cluster1,5
0.17,0.082,64,0.9959,0.39,8.8,cluster5,6
0.27,0.052,45,1,0.52,8.9,cluster2,5
0.31,0.056,68,0.9982,0.47,9.2,cluster2,5
0.41,0.049,29,0.9968,0.51,9.1,cluster2,5
0.41,0.049,29,0.9968,0.51,9.1,cluster2,5
0.485,0.065,8,0.994,0.4,9.7,cluster0,4
0.31,0.041,25,0.9914,0.44,11.3,cluster4,6
0.14,0.035,16,0.9911,0.42,11.8,cluster4,6
0.31,0.056,68,0.9982,0.47,9.2,cluster2,5
0.32,0.06,57,0.9982,0.5,9.2,cluster2,5
0.36,0.046,21,0.9934,0.51,10.2,cluster1,5
0.24,0.054,42,0.9984,0.54,8.8,cluster2,5
0.16,0.059,31,0.9952,0.34,9.7,cluster2,5
0.19,0.058,14,0.9952,0.36,9.1,cluster5,6
0.13,0.092,40,0.9928,0.36,9.8,cluster5,6
0.19,0.026,63,0.9912,0.48,11,cluster4,6
0.39,0.033,29,0.994,0.42,10.5,cluster1,5
0.24,0.038,48,0.9958,0.54,9.7,cluster3,7
0.3,0.044,47,0.9924,0.57,10.9,cluster3,7
0.3,0.046,46,0.9924,0.57,10.9,cluster4,6
0.26,0.02,7,0.994,0.37,10.6,cluster1,5
0.24,0.038,48,0.9958,0.54,9.7,cluster3,7
0.425,0.038,59,0.9979,0.57,9,cluster2,5
0.24,0.035,46,0.9982,0.51,9.2,cluster2,5
0.27,0.034,55,0.9961,0.52,8.9,cluster2,5
0.27,0.036,44,0.9979,0.56,9.6,cluster2,5
0.23,0.027,36,0.992,0.38,10.7,cluster4,6
0.37,0.045,49,0.9975,0.44,8.7,cluster2,5
0.19,0.035,30,0.9917,0.54,10.8,cluster3,7
0.28,0.029,18,0.9923,0.52,11.8,cluster4,6
0.31,0.045,20,0.9927,0.43,10.2,cluster1,5
0.37,0.045,49,0.9975,0.44,8.7,cluster2,5
0.21,0.039,38,0.992,0.54,10.8,cluster5,6
0.21,0.036,24,0.9947,0.53,9.7,cluster5,6
0.2,0.037,19,0.9921,0.54,11.2,cluster4,6
0.255,0.04,37,0.9905,0.39,10.9,cluster4,6
0.16,0.044,53,0.9918,0.37,10.1,cluster5,6
0.595,0.058,15,0.9951,0.36,9,cluster0,4
0.34,0.034,19,0.9917,0.58,12,cluster3,7
0.25,0.054,23,0.994,0.38,9.4,cluster5,6
0.22,0.043,46,0.9934,0.32,11.5,cluster3,7
0.18,0.055,58,0.9968,0.43,9.9,cluster5,6
0.25,0.054,23,0.994,0.38,9.4,cluster5,6
0.18,0.048,41,0.9919,0.45,10.4,cluster1,5
0.23,0.049,12,0.9966,0.84,9.7,cluster5,6
0.24,0.066,48,0.9979,0.42,8.9,cluster5,6
0.24,0.066,48,0.9979,0.42,8.9,cluster5,6
0.32,0.036,38,0.9898,0.42,12.4,cluster3,7
0.44,0.036,43,0.9894,0.33,12.1,cluster4,8
0.44,0.036,43,0.9894,0.33,12.1,cluster4,8
0.32,0.036,38,0.9898,0.42,12.4,cluster3,7
0.22,0.055,27,0.998,0.4,9.1,cluster2,5
0.36,0.049,14,0.9932,0.39,10.6,cluster1,5
0.24,0.066,48,0.9979,0.42,8.9,cluster5,6
0.24,0.05,64,0.997,0.5,9.5,cluster2,5
0.23,0.051,72,0.9972,0.49,9.8,cluster2,5
0.27,0.048,39,0.9974,0.59,9.6,cluster5,6
0.46,0.034,25,0.9896,0.44,12.6,cluster3,7
0.29,0.055,20,0.9968,0.54,9.3,cluster2,5
0.42,0.034,5,0.9958,0.29,10,cluster0,5
0.3,0.066,29,0.9906,0.54,12.7,cluster4,6
0.19,0.045,17,0.9917,0.39,11,cluster4,6
0.48,0.037,4,0.9902,0.39,11.4,cluster4,4
0.22,0.038,31,0.9918,0.33,11.5,cluster3,7
0.27,0.051,33,0.999,0.64,10.2,cluster2,5
0.23,0.04,50,0.9927,0.27,11.4,cluster4,6
0.32,0.044,19,0.991,0.41,12.6,cluster4,4
0.23,0.054,57,0.9972,0.39,9.4,cluster2,5
0.67,0.06,9,0.9931,0.35,8.7,cluster0,4
0.25,0.049,41,0.995,0.68,9.2,cluster5,6
0.33,0.048,42,0.9951,0.66,9.3,cluster5,6
0.34,0.053,61,0.9936,0.43,9.2,cluster2,5
0.28,0.048,48,1.001,0.5,8.7,cluster2,5
0.27,0.05,64,0.9979,0.58,9.6,cluster5,6
0.26,0.043,64,0.997,0.63,9.3,cluster2,5
0.29,0.043,66,0.9972,0.63,9.3,cluster2,5
0.24,0.04,49,0.9954,0.61,9.9,cluster5,6
0.3,0.038,42,0.9924,0.5,11,cluster1,5
0.53,0.034,26,0.9906,0.57,12.7,cluster4,8
0.28,0.047,54,0.9962,0.54,8.9,cluster2,4
0.28,0.052,55,0.9962,0.55,8.9,cluster5,6
0.28,0.048,48,1.001,0.5,8.7,cluster2,5
0.28,0.045,28,0.9928,0.37,11.4,cluster4,6
0.15,0.055,34,0.9942,0.42,9.6,cluster2,5
0.29,0.2,75,0.9942,0.41,9.1,cluster0,5
0.3,0.197,76,0.9942,0.39,9.1,cluster5,6
0.29,0.197,75,0.9942,0.38,9.1,cluster0,5
0.26,0.052,54,0.9961,0.47,8.9,cluster2,5
0.32,0.05,52,0.998,0.49,8.8,cluster2,5
0.26,0.052,54,0.9961,0.47,8.9,cluster2,5
0.27,0.049,55,0.9984,0.5,9.3,cluster2,5
0.32,0.05,52,0.998,0.49,8.8,cluster2,5
0.54,0.05,53,0.9973,0.5,9.6,cluster0,5
0.26,0.034,39,0.9949,0.53,12,cluster4,6
0.28,0.053,36,0.9924,0.5,10.2,cluster5,4
0.21,0.042,45,0.9972,0.43,8.8,cluster2,5
0.16,0.045,38,0.9958,0.34,9.2,cluster2,5
0.44,0.049,20,0.9968,0.51,9.9,cluster0,4
0.57,0.04,15,0.9938,0.74,10.2,cluster0,5
0.4,0.048,23,0.993,0.77,9.5,cluster5,6
0.245,0.032,12,0.994,0.34,10.5,cluster1,5
0.18,0.038,35,0.9918,0.59,11.2,cluster3,7
0.16,0.045,38,0.9958,0.34,9.2,cluster2,5
0.13,0.051,31,0.9944,0.37,9.7,cluster5,6
0.25,0.03,35,0.9912,0.44,11.1,cluster3,7
0.26,0.044,55,0.9961,0.38,9.4,cluster2,5
0.27,0.036,45,0.9939,0.33,11,cluster1,5
0.26,0.044,55,0.9961,0.38,9.4,cluster2,5
0.28,0.044,60,0.9989,0.44,9.4,cluster2,5
0.23,0.036,43,0.9938,0.32,11,cluster1,5
0.27,0.036,45,0.9939,0.33,11,cluster1,5
0.685,0.07,33,0.9971,0.55,9.1,cluster5,6
0.25,0.03,35,0.9912,0.44,11.1,cluster3,7
0.19,0.043,33,0.9936,0.39,9.1,cluster5,6
0.495,0.046,31,0.9929,0.54,10.4,cluster5,6
0.24,0.046,39,0.9998,0.39,8.7,cluster2,5
0.17,0.048,41,0.9938,0.5,9.7,cluster5,6
0.25,0.041,66,0.9969,0.52,9.1,cluster5,6
0.17,0.048,41,0.9938,0.5,9.7,cluster5,6
0.24,0.046,39,0.9998,0.39,8.7,cluster2,5
0.64,0.062,26,0.9972,0.46,8.9,cluster0,4
0.28,0.041,38,0.9976,0.51,9.6,cluster5,6
0.27,0.039,49,0.9976,0.51,9.5,cluster5,6
0.23,0.058,55,0.9979,0.44,9,cluster5,6
0.23,0.058,55,0.9979,0.44,9,cluster5,6
0.23,0.058,55,0.9979,0.44,9,cluster5,6
0.23,0.058,55,0.9979,0.44,9,cluster5,6
0.52,0.044,54,0.9972,0.5,9.6,cluster5,6
0.26,0.037,40,0.9918,0.41,11.1,cluster3,7
0.25,0.039,28,0.9982,0.64,9.6,cluster5,6
0.32,0.05,49,0.9985,0.46,8.7,cluster2,5
0.31,0.031,23,0.9944,0.5,10.4,cluster1,5
0.21,0.026,23,0.9903,0.38,11.4,cluster3,7
0.24,0.047,64.5,0.9934,0.58,9.7,cluster5,6
0.4,0.043,40,0.9975,0.46,8.7,cluster2,5
0.18,0.038,20,0.9923,0.79,11.3,cluster4,6
0.21,0.03,26,0.99,0.61,12.6,cluster3,7
0.2,0.031,12,0.9905,0.36,10.9,cluster3,7
0.19,0.03,12,0.9905,0.37,10.9,cluster3,7
0.41,0.037,18,0.996,0.45,10,cluster0,5
0.21,0.053,40,0.9964,0.7,10,cluster5,4
0.26,0.074,41,0.998,0.5,9.8,cluster5,3
0.4,0.043,40,0.9975,0.46,8.7,cluster2,5
0.24,0.029,5,0.9913,0.43,11.7,cluster4,3
0.24,0.054,37,0.9932,0.52,9.3,cluster5,6
0.26,0.04,45,0.9935,0.58,9.6,cluster5,8
0.35,0.035,8,0.9927,0.41,11,cluster3,7
0.35,0.035,8,0.9927,0.41,11,cluster3,7
0.23,0.032,23,0.9912,0.5,11.8,cluster4,6
0.36,0.037,3,0.9904,0.34,11.4,cluster1,4
0.115,0.048,36,0.9939,0.42,10.2,cluster5,6
0.29,0.043,36,0.9996,0.47,8.9,cluster2,5
0.28,0.036,15,0.9944,0.33,10.2,cluster1,5
0.29,0.045,66,0.9977,0.59,9.6,cluster5,6
0.24,0.038,22,0.9912,0.48,10.6,cluster5,6
0.29,0.043,36,0.9996,0.47,8.9,cluster2,5
0.32,0.053,32,0.9965,0.51,9.2,cluster5,6
0.58,0.043,34,0.9944,0.57,9.7,cluster0,5
0.585,0.044,34,0.9945,0.57,9.7,cluster5,6
0.59,0.045,36,0.9944,0.57,9.7,cluster5,6
0.32,0.053,32,0.9965,0.51,9.2,cluster5,6
0.6,0.044,33,0.9944,0.58,9.7,cluster0,5
0.25,0.051,44,0.9972,0.38,9.3,cluster2,5
0.58,0.057,30,0.9949,0.38,9,cluster0,5
0.29,0.046,59,0.9966,0.61,9.5,cluster2,5
0.19,0.046,51,0.9954,0.57,9.8,cluster5,6
0.2,0.044,50,0.9954,0.58,9.8,cluster5,6
0.26,0.042,9,0.9915,0.5,10.6,cluster1,5
0.32,0.044,14,0.9919,0.47,10.6,cluster1,4
0.3,0.036,17,0.9916,0.68,12.4,cluster3,7
0.24,0.034,22,0.99,0.38,12.6,cluster4,8
0.31,0.039,36,0.9909,0.6,12.3,cluster4,8
0.44,0.047,46,0.9938,0.65,10.5,cluster5,4
0.34,0.054,51,0.9982,0.49,9.3,cluster2,5
0.35,0.055,46,0.9988,0.49,8.8,cluster2,5
0.32,0.056,47,0.9961,0.47,8.8,cluster2,5
0.28,0.053,51,0.9978,0.51,9.7,cluster5,6
0.23,0.058,49,0.9979,0.48,9,cluster3,7
0.23,0.058,49,0.9979,0.48,9,cluster3,7
0.23,0.058,49,0.9979,0.48,9,cluster3,7
0.23,0.058,49,0.9979,0.48,9,cluster3,7
0.15,0.041,53,0.9945,0.46,10.5,cluster5,6
0.28,0.066,53,1,0.44,9.1,cluster2,5
0.28,0.041,26,0.9957,0.64,9.8,cluster3,7
0.59,0.066,34,0.9968,0.38,8.5,cluster0,3
0.33,0.046,34,0.9934,0.54,9.4,cluster5,6
0.39,0.045,33,0.9976,0.57,9.4,cluster2,5
0.19,0.041,82,0.9932,0.6,11.2,cluster3,7
0.17,0.046,65,0.997,0.45,10,cluster5,6
0.17,0.043,27,0.9923,0.45,10.3,cluster5,6
0.41,0.063,36,0.9914,0.67,10.8,cluster5,6
0.2,0.05,12,0.992,0.38,10.5,cluster5,6
0.41,0.063,36,0.9914,0.67,10.8,cluster5,6
0.29,0.055,42,0.9914,0.43,11.1,cluster4,6
0.41,0.057,41,0.9949,0.41,9.9,cluster5,6
0.41,0.057,41,0.9949,0.41,9.9,cluster5,6
0.43,0.058,40,0.995,0.41,9.9,cluster0,5
0.4,0.058,41,0.995,0.41,9.9,cluster5,6
0.33,0.036,30,0.9927,0.42,10.4,cluster3,7
0.31,0.037,36,0.9928,0.41,10.4,cluster5,6
0.36,0.035,16,0.9917,0.71,11.5,cluster3,7
0.55,0.032,35,0.9918,0.51,12.5,cluster4,8
0.25,0.042,37,0.9954,0.45,10,cluster5,6
0.36,0.038,51,0.9941,0.63,10,cluster5,6
0.34,0.04,50,0.9941,0.62,10,cluster2,5
0.28,0.132,42,0.9934,0.44,9.1,cluster5,6
0.25,0.031,34,0.9927,0.38,10.6,cluster5,6
0.24,0.031,36,0.9938,0.37,10.5,cluster1,5
0.3,0.03,19,0.9933,0.43,11.5,cluster3,7
0.125,0.04,10,0.9934,0.59,10.1,cluster5,6
0.1,0.041,15,0.9927,0.61,10.3,cluster3,7
0.24,0.031,36,0.9938,0.37,10.5,cluster1,5
0.25,0.031,34,0.9927,0.38,10.6,cluster5,6
0.28,0.031,35,0.9946,0.36,10.4,cluster5,6
0.41,0.046,11,0.993,0.55,11.4,cluster1,5
0.27,0.057,131,0.9946,0.59,10.5,cluster2,5
0.26,0.04,38,0.9976,0.6,10,cluster5,6
0.34,0.039,37,0.9944,0.65,10,cluster5,6
0.28,0.042,55,0.9978,0.5,9.6,cluster5,6
0.21,0.036,33,0.992,0.51,10.4,cluster1,5
0.32,0.03,34,0.9912,0.6,12.5,cluster4,8
0.24,0.032,37,0.9927,0.39,10.6,cluster1,5
0.23,0.033,16,0.9906,0.4,11.8,cluster4,6
0.28,0.038,30,0.9954,0.44,9.8,cluster2,5
0.26,0.031,12,0.9923,0.38,10.8,cluster1,5
0.23,0.033,16,0.9906,0.4,11.8,cluster4,6
0.23,0.036,15,0.991,0.42,11.2,cluster4,6
0.27,0.045,55,0.9972,0.42,9.3,cluster5,6
0.26,0.047,12,0.9945,0.53,10.4,cluster1,5
0.18,0.049,49,0.9934,0.85,10.2,cluster3,7
0.2,0.045,27,0.9964,0.55,9,cluster3,7
0.24,0.047,17,0.9948,0.54,10,cluster5,6
0.26,0.044,30,0.9962,0.47,9.1,cluster5,6
0.31,0.053,46,0.9931,0.76,10,cluster2,5
0.29,0.052,47,0.993,0.75,10,cluster5,6
0.145,0.05,33,0.9942,0.4,9.6,cluster5,6
0.34,0.031,20,0.9906,0.51,11.2,cluster3,7
0.19,0.056,75,0.9995,0.44,8.8,cluster5,6
0.18,0.052,38,0.998,0.5,10,cluster5,6
0.17,0.054,56,0.997,0.47,10,cluster2,5
0.12,0.044,47,0.9914,0.74,11.4,cluster3,7
0.33,0.038,32,0.992,0.3,11.9,cluster3,7
0.335,0.071,27,0.9924,0.51,9.6,cluster5,6
0.33,0.038,32,0.992,0.3,11.9,cluster3,7
0.4,0.047,38.5,0.9937,0.57,9.6,cluster5,6
0.22,0.063,48,0.9978,0.38,9,cluster5,6
0.22,0.063,48,0.9978,0.38,9,cluster5,6
0.36,0.05,24,0.9927,0.78,9.5,cluster5,6
0.2,0.05,19,0.994,0.42,10.4,cluster5,6
0.24,0.04,43,0.9935,0.59,10.6,cluster5,6
0.24,0.047,54,0.9968,0.5,10.2,cluster5,6
0.365,0.055,24,0.9941,0.43,8.9,cluster2,5
0.15,0.05,40,0.9942,0.39,9.7,cluster5,6
0.22,0.063,48,0.9978,0.38,9,cluster5,6
0.16,0.037,18,0.9923,0.42,11.4,cluster3,7
0.26,0.028,29,0.9912,0.71,12.3,cluster3,7
0.18,0.089,40,0.9923,0.62,10.8,cluster5,6
0.33,0.053,39,0.9927,0.45,9.4,cluster5,6
0.29,0.049,36,0.9931,0.64,10.6,cluster5,6
0.39,0.044,26,0.9941,0.29,11.6,cluster1,5
0.33,0.053,39,0.9927,0.45,9.4,cluster5,6
0.29,0.049,36,0.9931,0.64,10.6,cluster5,6
0.905,0.048,17,0.9934,0.56,10,cluster0,5
0.27,0.048,30,0.9936,0.51,9.2,cluster5,6
0.33,0.027,18,0.9893,0.38,12.5,cluster3,7
0.33,0.027,18,0.9893,0.38,12.5,cluster3,7
0.31,0.037,12,0.9919,0.51,10.4,cluster3,7
0.2,0.045,21,0.9924,0.46,10,cluster3,7
0.32,0.049,17,0.9927,0.64,10,cluster5,6
0.31,0.037,12,0.9919,0.51,10.4,cluster3,7
0.2,0.045,21,0.9924,0.46,10,cluster3,7
0.28,0.046,48,0.9975,0.52,9,cluster5,6
0.35,0.051,26,0.9969,0.53,9.2,cluster5,6
0.27,0.048,30,0.9936,0.51,9.2,cluster5,6
0.36,0.027,20,0.991,0.39,11.3,cluster3,7
0.33,0.027,18,0.9893,0.38,12.5,cluster3,7
0.17,0.026,24,0.9906,0.39,10.8,cluster3,7
0.39,0.04,82.5,0.9941,0.66,10.1,cluster2,5
0.21,0.047,29,0.995,0.46,9.7,cluster5,6
0.3,0.032,60,0.9983,0.61,9.3,cluster3,7
0.3,0.032,60,0.9983,0.61,9.3,cluster3,7
0.36,0.031,13,0.9916,0.46,10.6,cluster1,5
0.55,0.031,19,0.9957,0.47,10.2,cluster5,6
0.24,0.021,20,0.99,0.56,12.2,cluster4,6
0.37,0.044,62,0.9976,0.44,8.8,cluster2,5
0.27,0.04,87,0.992,0.41,10,cluster2,5
0.28,0.031,30,0.9917,0.39,11.4,cluster1,5
0.2,0.037,35,0.9917,0.5,11.4,cluster4,6
0.26,0.048,52,0.9993,0.44,9.4,cluster2,5
0.19,0.032,32,0.9908,0.41,11.7,cluster4,6
0.2,0.037,35,0.9917,0.5,11.4,cluster4,6
0.37,0.044,62,0.9976,0.44,8.8,cluster2,5
0.35,0.069,22,0.9934,0.52,9.2,cluster2,5
0.27,0.046,55,1,0.56,8.7,cluster2,5
0.22,0.035,33,0.9918,0.66,12.6,cluster4,6
0.27,0.04,87,0.992,0.41,10,cluster2,5
0.28,0.031,40,0.9896,0.39,12.8,cluster3,7
0.49,0.049,13,0.9932,0.51,9.4,cluster0,5
0.14,0.044,26,0.992,0.53,10.3,cluster5,6
0.28,0.031,30,0.9917,0.39,11.4,cluster1,5
0.25,0.038,42,0.9999,0.47,9,cluster5,6
0.28,0.04,38,0.998,0.79,9.6,cluster5,6
0.19,0.036,32,0.9918,0.5,10.5,cluster1,5
0.19,0.036,32,0.9918,0.5,10.5,cluster1,5
0.25,0.038,42,0.9999,0.47,9,cluster5,6
0.28,0.04,38,0.998,0.79,9.6,cluster5,6
0.21,0.041,27,0.9927,0.33,9.8,cluster5,6
0.26,0.047,57,0.9959,0.47,9,cluster2,5
0.21,0.041,27,0.9927,0.33,9.8,cluster5,6
0.31,0.05,33,0.9929,0.56,10.5,cluster5,6
0.22,0.03,41,0.9898,0.37,12.7,cluster3,7
0.21,0.045,37,0.9954,0.54,10.4,cluster5,6
0.21,0.045,37,0.9954,0.54,10.4,cluster5,6
0.21,0.045,37,0.9954,0.54,10.4,cluster5,6
0.23,0.047,47,0.9954,0.52,10.5,cluster3,7
0.21,0.045,37,0.9954,0.54,10.4,cluster5,6
0.21,0.045,37,0.9954,0.54,10.4,cluster5,6
0.29,0.053,48,0.9974,0.45,9.4,cluster2,5
0.21,0.051,20,0.9936,0.46,9.1,cluster2,5
0.31,0.056,54,0.9978,0.49,9.3,cluster2,5
0.29,0.053,48,0.9974,0.45,9.4,cluster2,5
0.34,0.048,19,0.9927,0.38,9.8,cluster2,5
0.155,0.045,73.5,0.9934,0.61,9.9,cluster3,7
0.55,0.108,16,0.9938,0.57,9.2,cluster0,4
0.23,0.028,31,0.9922,0.47,12.1,cluster4,8
0.2,0.027,24,0.992,0.49,12.2,cluster3,7
0.28,0.042,23,0.9935,0.6,9.8,cluster2,5
0.16,0.035,49,0.9906,0.64,12.4,cluster3,8
0.155,0.045,73.5,0.9934,0.61,9.9,cluster3,7
0.35,0.06,23,0.9934,0.54,9.2,cluster2,5
0.22,0.028,24,0.9913,0.59,11.6,cluster3,7
0.38,0.033,25,0.9938,0.69,10.4,cluster5,6
0.25,0.026,54,0.9898,0.65,12.9,cluster4,8
0.52,0.048,54,0.9975,0.54,9.3,cluster5,6
0.24,0.031,40,0.9975,0.33,11,cluster4,6
0.32,0.038,16,0.9937,0.4,11.5,cluster4,3
0.28,0.054,30,0.9914,0.42,12.4,cluster1,5
0.41,0.048,24,0.9982,0.53,9.8,cluster5,6
0.41,0.048,24,0.9982,0.53,9.8,cluster5,6
0.28,0.052,34,0.9929,0.56,10.5,cluster3,7
0.6,0.07,21,0.9971,0.54,9.1,cluster0,5
0.2,0.038,34,0.9921,0.44,10.1,cluster1,5
0.46,0.042,27,0.9931,0.51,10.6,cluster3,7
0.27,0.046,32,0.9924,0.51,10.5,cluster3,7
0.28,0.052,34,0.9929,0.56,10.5,cluster3,7
0.41,0.048,24,0.9982,0.53,9.8,cluster5,6
0.23,0.022,11,0.9892,0.4,12.9,cluster3,7
0.21,0.056,26,0.9956,0.52,9.5,cluster2,5
0.37,0.053,31,0.9924,0.72,9.8,cluster5,6
0.43,0.059,83,0.9971,0.5,8.5,cluster2,5
0.21,0.056,26,0.9956,0.52,9.5,cluster2,5
0.25,0.047,40,0.9982,0.45,9.3,cluster2,5
0.25,0.047,50,0.9973,0.38,9.5,cluster2,5
0.32,0.044,15,0.9932,0.39,9.4,cluster5,6
0.39,0.047,66,0.9976,0.5,8.7,cluster2,5
0.21,0.081,34,0.9962,0.46,8.9,cluster2,5
0.14,0.039,54,0.9956,0.43,9.4,cluster5,6
0.32,0.044,15,0.9932,0.39,9.4,cluster5,6
0.39,0.047,66,0.9976,0.5,8.7,cluster2,5
0.29,0.047,59,0.9992,0.52,9.6,cluster2,5
