Source_0,Source_1,Source_2,Source_3,Source_4,Source_5,Source_6,Source_7,Sex
0.008394,-0.004914,0.008011,-0.003006,-0.002415,0.009338,-0.002848,-0.003928,F
-0.016292,-0.019767,-0.023742,-0.010082,0.000072,-0.005659,0.007399,0.005418,F
-0.003179,-0.027191,0.008439,0.000712,-0.000662,-0.006025,0.010772,0.003185,M
-0.012211,-0.019308,-0.001311,-0.012317,0.012695,-0.008424,-0.016777,-0.011014,M
-0.010884,-0.018376,0.005196,0.006928,0.012944,-0.023366,0.00791,0.010738,M
0.002869,-0.013449,-0.017986,-0.007271,0.000259,0.02055,0.004984,-0.006734,M
0.055005,0.017009,0.015229,-0.016853,-0.026444,-0.022965,0.013364,-0.023505,F
-0.003503,-0.040839,-0.009691,0.019776,0.007338,-0.035658,-0.006121,-0.019436,M
0.018501,-0.010271,-0.006797,0.030183,-0.005634,-0.041662,-0.034283,-0.017657,F
0.014148,-0.026459,-0.017948,-0.008292,-0.026771,-0.011504,0.019541,0.010708,F
-0.007256,-0.00331,0.003597,0.009963,0.010666,0.001176,0.009466,-0.001152,M
0.004416,-0.010523,-0.039132,0.03153,-0.000781,-0.009356,-0.024597,-0.044906,F
0.000143,0.005934,0.000638,0.00901,0.004381,0.004993,0.007247,-0.007954,F
0.002687,-0.013785,0.007134,0.003226,0.00864,0.000459,0.002419,-0.002025,F
-0.009369,0.009017,-0.0096,0.01922,-0.006321,-0.000672,0.002253,-0.021848,M
-0.008567,0.001376,0.014794,0.002495,0.003884,-0.006188,0.006693,0.000347,F
-0.006404,-0.019581,0.010079,0.008616,0.003155,-0.004754,-0.01494,-0.009475,F
-0.015296,0.016143,0.001248,0.033612,-0.024799,0.009437,0.006947,-0.000424,I
-0.021966,0.023075,-0.006623,0.031878,-0.030029,0.008394,-0.000726,0.000228,I
-0.018557,0.022958,-0.003199,0.03031,-0.031826,0.012225,0.005808,0.004779,I
-0.012694,0.005938,0.00782,0.001584,0.002904,0.009792,0.008254,-0.002607,I
-0.026961,-0.027727,-0.031103,0.032217,0.018712,0.001758,0.002773,-0.006402,M
0.001022,0.005558,-0.009753,-0.005395,0.007137,0.016649,0.01769,-0.013952,F
-0.008203,0.017266,0.008318,0.014724,-0.008912,0.006178,0.008661,-0.003197,I
-0.005695,-0.003307,-0.024741,-0.00327,0.004294,0.008705,0.00477,-0.005819,F
0.010806,0.004931,0.011294,-0.011159,0.008995,0.012065,0.016353,-0.007113,I
-0.002027,0.012024,0.001142,0.00464,0.003819,0.013089,0.008572,-0.012786,M
-0.010406,0.005382,0.018,-0.00731,0.006713,-0.004829,-0.008328,0.006005,M
-0.010344,-0.002213,0.008521,-0.000616,0.007496,0.000503,-0.001398,-0.005332,F
-0.008917,0.006681,0.000479,0.00853,-0.001482,0.006296,0.007993,-0.000546,M
-0.005708,-0.008096,-0.016359,-0.003702,0.002122,0.018753,0.01232,-0.005248,F
-0.006077,0.007884,-0.001136,-0.00334,0.005145,0.006704,0.006169,-0.006772,M
0.000855,0.015545,-0.010831,-0.004352,0.009621,0.009544,0.000884,-0.012225,M
-0.010817,0.027276,-0.006012,0.023152,-0.022156,0.014387,0.008335,-0.003006,I
0.004254,0.003634,-0.001461,-0.00697,0.010541,0.013268,0.017515,-0.004311,F
-0.009219,-0.005841,0.000522,0.006256,0.007002,0.015152,0.011483,0.00009,M
0.00067,-0.00706,-0.003828,0.016175,0.018905,0.008767,0.003024,-0.013262,M
-0.009588,-0.018417,-0.00469,0.007726,0.011842,0.001224,0.006874,-0.003192,F
-0.002649,0.00854,0.008068,0.005557,0.003492,0.002947,0.013077,-0.002281,M
0.001373,-0.005947,0.009021,-0.006152,0.009214,0.011267,0.016473,-0.000094,M
-0.009417,0.003106,0.01071,-0.002701,0.010199,0.00174,0.003091,0.006911,M
-0.002023,-0.011698,0.004393,-0.012735,-0.005879,0.011301,-0.007131,-0.001431,F
0.026352,0.004013,-0.001998,-0.032225,-0.036993,0.028352,-0.002807,-0.016596,F
0.002115,0.00302,-0.003007,-0.000694,0.008398,0.006791,0.004917,-0.023539,F
-0.012961,0.012501,0.000705,0.019105,-0.011972,0.007638,0.009256,-0.004209,I
-0.000251,-0.021696,0.018782,-0.005852,-0.004525,0.003491,0.002851,-0.008359,M
-0.011535,0.005366,-0.01147,0.005525,0.000905,0.002957,0.01008,-0.013476,F
0.006061,-0.010909,0.018746,-0.004985,-0.020651,-0.014046,-0.040559,-0.024471,F
0.012295,0.000652,-0.026508,-0.005257,-0.010348,0.018299,-0.004593,-0.016004,M
-0.027127,-0.026902,-0.012574,-0.0053,0.002112,-0.012645,-0.014558,0.018833,F
0.003071,-0.01218,0.007212,0.003898,0.01225,-0.018451,-0.012553,-0.017221,F
0.020676,-0.004274,0.007162,-0.012967,0.001218,0.021362,0.015699,-0.005297,M
0.010122,-0.009845,0.007635,-0.01439,0.004313,0.014765,0.009306,-0.000801,F
0.002439,-0.012145,0.015887,-0.014244,-0.005931,0.012144,0.004748,-0.000026,F
-0.001825,-0.015073,0.007749,-0.006788,0.001606,-0.003461,-0.016988,0.000238,F
-0.001514,-0.023745,-0.009077,0.006666,0.002517,0.012165,0.014041,0.005744,F
0.060659,0.022758,0.032572,-0.045519,-0.073532,0.06411,-0.013574,-0.001989,M
-0.009718,-0.010458,-0.013097,0.004756,-0.011185,-0.007251,-0.027689,-0.023601,F
0.010259,-0.034808,0.028791,-0.00738,-0.050638,0.029509,-0.045239,-0.024524,M
0.004169,-0.023095,0.014983,0.000814,-0.011789,0.009716,-0.010109,-0.006973,M
0.033992,0.014921,0.000352,-0.043747,-0.058617,0.001453,0.031026,-0.012227,F
0.017844,-0.00984,0.039677,-0.007196,-0.016287,0.005973,-0.011758,0.013544,M
-0.001666,-0.008195,-0.008831,-0.013192,0.000416,0.001692,0.013047,-0.001955,M
-0.010768,0.002575,0.000492,-0.004615,0.001596,0.005118,0.000125,-0.001712,F
0.001715,-0.019457,-0.002859,-0.015418,-0.016697,0.004309,0.015483,-0.005222,F
-0.006104,-0.017861,0.025863,0.000372,0.00477,-0.014387,-0.015579,-0.006152,M
0.000029,-0.006304,0.007048,-0.012962,0.008121,0.007792,-0.006428,-0.01209,M
-0.001925,-0.021636,-0.00366,-0.013203,-0.016979,0.011971,-0.003889,-0.0002,M
0.006314,-0.024184,-0.018428,0.003815,-0.006248,0.016745,0.009307,0.005066,F
0.012316,-0.028776,-0.009472,-0.005022,-0.006466,0.010073,-0.009404,-0.009391,M
0.013278,-0.024285,-0.024668,-0.005717,-0.028816,-0.00657,0.013396,-0.005299,M
0.009734,0.006583,-0.002182,-0.021841,0.002378,0.017257,0.011003,-0.012363,M
-0.005338,0.003639,-0.01086,-0.004446,0.00728,0.003086,0.014552,-0.009279,M
-0.005955,0.000476,-0.009799,-0.007046,0.002455,0.013084,0.017286,-0.002306,M
0.003979,0.020437,0.012273,-0.006099,0.007952,-0.006965,-0.006028,-0.010608,F
-0.016509,0.01106,0.00742,0.00515,-0.00691,0.004628,0.002648,0.003791,I
-0.003784,-0.014171,0.005016,-0.000346,0.001778,-0.015784,-0.007683,-0.020511,M
0.002078,-0.004078,0.002452,-0.013343,-0.012733,0.009589,-0.020726,-0.025661,M
-0.002472,-0.003237,-0.001149,-0.003994,0.008932,-0.00197,0.005516,-0.005188,M
0.009699,-0.004131,0.006305,-0.00419,-0.005102,-0.003358,-0.005914,0.003542,M
-0.014092,-0.012948,-0.009049,-0.004958,0.003288,0.000676,-0.005437,-0.009668,F
-0.006198,-0.009638,-0.006065,-0.018083,-0.003119,0.010923,0.001812,-0.004937,F
0.00621,0.002556,0.005015,-0.004457,-0.000211,0.008722,0.004422,-0.013405,F
-0.011802,-0.017388,-0.005992,-0.003257,0.000805,0.005725,0.016796,0.001548,F
0.008878,0.006112,-0.023996,0.007086,0.018358,0.021112,0.012335,-0.05134,F
-0.003354,-0.001882,-0.004492,-0.000317,0.014952,0.003976,0.009125,-0.012727,M
-0.007838,-0.012525,0.007874,0.005033,0.005406,0.020864,0.002501,-0.007116,M
-0.005063,-0.002493,0.026663,0.010431,0.004186,0.000446,0.005221,-0.001816,I
0.004764,0.009533,0.004504,-0.004154,-0.003163,0.019477,0.004835,-0.02327,M
-0.00173,-0.010063,0.020391,-0.002471,0.008688,-0.003395,0.001558,0.000997,F
-0.00276,-0.019179,0.005769,0.005207,0.014575,-0.000311,0.012026,-0.015302,F
-0.005183,0.003358,0.016457,-0.010933,-0.002243,0.006695,-0.012043,-0.002014,F
-0.009256,-0.009513,0.008796,0.00208,-0.004046,0.012051,0.004083,-0.011004,M
0.005434,-0.003639,0.009781,-0.016323,-0.007159,0.021259,0.002992,0.009705,F
-0.009282,0.000835,0.013492,0.009336,0.003598,0.005002,0.007456,-0.005003,M
-0.00438,-0.006938,0.007933,0.001796,0.00847,0.007202,0.011957,-0.010354,F
-0.00737,0.005898,0.007019,0.008662,-0.001233,0.009463,0.010943,-0.005841,I
-0.00165,-0.00866,-0.005149,0.003203,0.00271,0.000585,-0.01286,-0.029806,F
-0.012133,0.003171,0.014982,0.011838,-0.006418,0.00838,0.013084,0.008285,M
-0.010717,0.005453,0.000087,0.013316,0.000835,0.018205,0.009327,-0.006957,I
-0.017747,0.013477,0.002605,0.022785,-0.019896,0.011596,0.00819,0.003388,I
-0.013318,0.008519,0.007847,0.006054,-0.003597,0.006545,0.011087,0.00646,I
-0.012371,0.002145,0.009476,0.0122,0.000196,0.004067,0.004845,-0.004935,I
0.045544,0.001532,0.055173,-0.017214,-0.044315,-0.026016,-0.013865,-0.003052,M
0.048553,-0.007091,0.069532,-0.012121,-0.064298,0.051777,-0.066027,0.019181,M
0.003316,-0.022047,-0.003915,0.00628,-0.016998,-0.005468,-0.020691,-0.020437,M
-0.003938,0.016257,0.004517,-0.011143,0.005823,0.003275,-0.000054,-0.012514,F
-0.011223,0.019686,-0.004879,0.009648,-0.007485,0.007611,0.001941,-0.012872,F
-0.019476,0.007656,0.000953,0.007396,-0.0081,0.004294,0.005669,0.001185,I
-0.017058,0.017994,0.00119,0.023212,-0.019677,0.00129,0.00057,-0.007756,I
-0.007152,0.008662,0.002888,-0.003866,-0.001832,0.008165,0.005321,-0.004604,F
-0.017152,0.015133,0.000965,0.015277,-0.013673,0.003049,0.001714,-0.004422,F
-0.017655,0.012659,0.012799,0.008502,-0.007669,-0.004712,-0.006197,-0.004333,M
-0.005647,0.013702,0.001332,-0.000265,0.000958,0.004778,-0.00091,-0.016232,F
-0.015536,0.003377,0.006927,0.007172,-0.00531,0.00274,0.000424,-0.008171,M
-0.003603,-0.011592,-0.008631,-0.007529,0.009611,0.00459,0.008196,-0.003399,F
0.010062,0.000429,0.000774,-0.015019,0.008942,0.022065,0.00185,-0.016912,F
0.002038,-0.026331,-0.00742,-0.007449,-0.010274,0.003615,-0.016814,-0.01104,M
-0.00053,-0.006964,-0.010867,-0.006674,0.015405,0.005246,0.000922,-0.016186,M
-0.007557,-0.000647,-0.000071,-0.005644,0.005228,0.004348,0.002036,-0.011477,M
-0.004088,0.001995,0.010309,-0.004231,0.008575,0.003175,-0.002798,-0.006376,F
-0.00969,0.001254,0.009025,0.000204,0.001511,-0.00228,-0.002457,-0.002783,M
-0.028104,0.008644,0.000684,0.021658,-0.018814,-0.005353,-0.008736,-0.006027,I
-0.022238,0.02879,-0.010007,0.03184,-0.038195,0.008281,-0.002707,-0.001704,I
-0.032638,0.038814,-0.027428,0.013097,-0.037784,0.009096,-0.005164,0.004339,I
-0.000434,-0.026933,-0.005351,0.015692,0.00562,-0.002658,-0.01356,-0.020935,M
0.009447,0.000404,-0.02791,-0.014686,0.006277,0.016089,0.007336,-0.006821,F
0.016899,-0.009146,-0.020378,-0.018553,-0.019855,0.023421,0.011728,0.001405,F
0.014845,-0.012178,-0.005333,-0.017012,-0.008858,0.018422,0.019276,-0.005678,F
0.026387,0.013508,0.023486,-0.012939,-0.009792,-0.000701,-0.000541,-0.012353,F
0.006609,0.009236,0.010024,-0.004813,0.005063,-0.000283,-0.000951,-0.006804,M
-0.01344,-0.017514,-0.019073,-0.013756,-0.002111,0.010142,-0.01366,-0.006768,F
-0.000034,-0.021976,0.023303,-0.033688,-0.05144,0.044799,-0.048775,0.024345,M
-0.00888,-0.014967,-0.004125,-0.010206,0.006638,-0.002324,-0.008192,-0.006548,F
0.026683,0.00165,0.017713,-0.039058,-0.045951,0.018653,0.012313,-0.011394,F
-0.004786,-0.023151,0.002306,-0.005568,-0.002663,0.001836,-0.005838,0.002436,M
0.016894,0.008633,-0.004007,0.000549,0.002825,-0.034895,0.004845,-0.012547,F
0.001398,-0.010949,-0.01739,0.003913,0.001082,-0.005471,-0.006276,-0.000599,M
0.025552,-0.06325,0.027636,-0.02466,-0.10748,0.111812,-0.051266,0.024804,F
0.02597,-0.016885,-0.000282,-0.042393,-0.073629,0.094751,-0.051281,-0.005914,F
0.055711,0.012092,0.002589,0.019573,-0.067326,-0.007243,-0.024077,0.027171,M
0.024076,-0.06529,0.012757,0.021549,-0.068516,0.063289,-0.052111,0.000886,F
0.019976,-0.034979,-0.019063,-0.002717,-0.049227,0.012883,-0.021408,-0.029446,F
0.034768,0.004613,0.019424,-0.025245,-0.050186,0.063944,-0.061842,0.023202,M
0.006178,-0.062884,-0.006254,-0.002297,-0.053153,0.04798,0.013482,0.024464,F
-0.002818,-0.05491,-0.052762,0.015199,-0.044015,0.0021,0.011653,0.012206,M
-0.003134,-0.003886,0.004742,-0.013931,-0.007209,0.01705,0.012413,0.020616,F
0.011447,0.015774,-0.026006,0.00542,-0.002672,0.007806,-0.000104,-0.004803,M
0.007328,-0.005514,0.000672,0.007748,0.000218,0.006741,0.017823,-0.0002,F
-0.01827,0.013289,0.008004,0.034305,-0.028284,0.007235,0.007179,0.006324,I
-0.017852,0.00545,0.012266,0.003275,-0.008642,0.008204,0.005989,0.005256,I
-0.019495,0.004819,0.015829,0.021065,-0.015237,0.005811,0.011768,0.017381,I
-0.020155,0.008062,-0.005155,0.015744,-0.009192,0.002994,0.001605,-0.012492,I
-0.016593,0.019708,0.000582,0.032315,-0.027764,0.012806,0.007245,0.005037,I
0.009502,-0.014442,-0.006877,-0.003094,0.001391,0.029423,-0.00378,-0.014568,M
0.001192,0.000934,-0.016847,-0.012679,0.011696,0.000268,-0.017283,-0.029887,M
0.001195,-0.040635,0.021062,0.000262,-0.025267,0.029521,-0.060131,-0.019752,M
-0.003216,-0.014217,-0.025041,0.005621,0.000216,0.007885,0.003891,-0.003564,F
0.000753,-0.008417,0.004914,-0.019874,0.006312,0.011984,-0.001872,0.013266,F
0.00701,-0.013802,-0.024468,-0.00506,-0.023656,-0.000696,0.000975,0.010102,F
-0.008647,-0.016779,-0.018706,-0.000196,0.006342,-0.002178,-0.0178,0.001201,M
-0.012296,-0.051238,-0.016603,0.012656,0.005982,-0.012721,0.027547,0.001768,F
0.010963,-0.00833,-0.024009,-0.008152,-0.01415,-0.004809,0.019572,0.006691,F
-0.008455,-0.033425,-0.015865,0.015738,0.007519,-0.00843,0.007227,0.012507,F
-0.011213,-0.026746,-0.02622,-0.005562,0.00552,0.01439,0.015993,0.004085,F
0.010037,0.007447,0.008204,-0.020676,-0.002647,-0.017093,-0.00587,-0.000202,M
-0.002117,-0.022618,-0.006472,-0.007769,0.005153,0.02216,-0.009874,-0.004373,M
0.007117,-0.019778,0.019903,-0.021146,-0.020467,0.01063,0.003727,-0.009818,M
-0.019181,-0.008217,0.002399,0.017859,-0.008118,0.037512,-0.013577,-0.006591,I
-0.011764,0.001777,-0.011352,0.020161,0.020289,-0.004994,-0.022874,0.000922,F
-0.005302,0.006721,-0.006269,-0.004687,0.002228,0.002519,-0.01998,-0.014074,M
-0.007811,-0.000299,-0.009162,-0.006439,0.011712,0.007311,-0.009509,-0.0163,F
0.007984,-0.021726,0.010912,-0.022312,-0.027121,0.005442,-0.009372,-0.005057,M
-0.000806,0.003321,0.004431,-0.002044,0.012379,-0.016974,-0.027166,-0.019653,M
-0.004841,-0.005131,-0.012547,-0.025082,0.003498,0.004839,0.007463,0.002649,M
-0.011168,0.000361,0.004641,-0.004825,0.003152,0.002741,0.005911,-0.004458,F
-0.011938,-0.012971,-0.016296,-0.012232,-0.021159,-0.000956,0.00266,-0.014399,M
-0.009705,-0.009513,-0.003678,-0.007802,0.001111,0.008194,-0.005718,-0.016536,F
0.001275,0.005967,-0.005409,-0.022601,-0.004346,0.000293,-0.006902,-0.021841,F
-0.006515,0.012654,-0.001032,-0.001783,0.005905,0.009743,0.000354,-0.010933,M
-0.015727,0.005009,-0.005233,-0.010983,-0.004449,0.003894,0.001194,-0.001516,F
-0.01625,0.002261,0.008056,-0.002578,-0.007552,0.004213,0.001942,-0.002261,I
-0.005789,0.0049,0.002304,-0.002068,0.003471,0.006146,0.011229,-0.008464,I
-0.006265,-0.005764,-0.000792,-0.02297,-0.017238,0.007116,-0.00686,-0.009382,F
-0.011768,0.01298,0.005063,0.005815,-0.004148,0.00494,0.00428,-0.001011,I
-0.016716,-0.014509,-0.000054,-0.012895,-0.014114,0.002455,0.011905,0.007023,F
-0.018005,0.011538,0.002672,0.008461,-0.009515,0.004344,0.003762,-0.000888,M
-0.012063,0.001618,0.009064,0.008251,0.001067,-0.008742,-0.00959,-0.02003,F
0.000229,0.002448,-0.007231,-0.011062,0.005547,0.013141,0.007783,-0.013087,M
-0.010306,0.002584,-0.003604,-0.01479,-0.003473,-0.002525,-0.018348,-0.023994,F
0.003865,-0.007838,0.020307,-0.023052,-0.018411,-0.006119,0.026698,0.011002,M
-0.009852,0.004893,-0.005433,-0.009115,0.000758,0.001501,0.013841,-0.00368,M
-0.017265,0.007942,0.003162,-0.008659,-0.005306,0.006601,0.007401,0.007795,I
-0.011485,-0.00241,0.002972,-0.01338,-0.003677,-0.002101,0.01004,-0.004676,M
-0.023608,0.004526,0.002237,-0.011006,-0.001483,0.000917,0.002974,0.007962,F
-0.019577,-0.004072,0.006155,-0.00402,-0.004469,-0.003174,0.005038,0.008587,F
-0.022284,-0.008209,0.004226,-0.012608,-0.005008,-0.002825,-0.002383,0.002713,F
-0.015967,-0.005464,-0.005952,-0.013994,0.000421,0.006151,0.006593,0.003351,F
-0.020306,0.000401,-0.014505,-0.009917,0.000249,-0.004046,-0.002519,-0.014455,F
0.00608,0.011203,-0.01687,0.00526,0.018439,0.007002,0.008603,-0.050425,I
-0.015133,-0.008443,0.01195,-0.016502,0.007642,0.003783,0.009667,0.006902,F
-0.023218,0.007448,-0.006108,-0.006377,-0.005068,0.001184,0.008266,0.006815,F
-0.013797,0.005485,0.009142,0.007856,-0.006067,0.005665,0.00978,0.000132,I
0.017826,0.005764,0.000627,-0.020359,-0.016416,0.005375,0.008118,-0.005918,F
-0.008326,-0.004148,0.007174,-0.01435,-0.003682,-0.018337,-0.011727,-0.016217,F
0.009128,-0.005274,0.011643,-0.003477,0.003501,0.002544,-0.006429,-0.019374,M
-0.007944,-0.01482,0.003194,-0.022444,-0.01169,0.002159,-0.007271,-0.006785,M
0.00307,-0.006613,-0.001042,-0.024498,-0.032126,-0.046506,-0.022592,-0.030204,M
-0.017371,0.018357,-0.005634,0.019913,-0.016167,0.003622,0.000433,-0.011217,I
-0.012884,0.01017,0.00133,-0.008262,0.00491,-0.014033,-0.00824,-0.0199,I
-0.021844,0.011402,0.000907,0.018271,-0.013517,-0.00433,-0.005112,-0.012852,I
-0.012852,0.039686,-0.016905,0.057376,-0.06013,0.024522,0.0046,0.004354,I
-0.015011,0.034265,-0.013698,0.04527,-0.046567,0.016732,0.002762,-0.001991,I
-0.015443,0.037594,-0.018954,0.047553,-0.049628,0.017601,0.000204,-0.005345,I
-0.017303,0.027877,-0.006503,0.042592,-0.040185,0.008114,-0.001226,-0.005667,I
-0.014516,-0.021877,0.011981,-0.004598,-0.009041,-0.033385,-0.010981,-0.007986,M
-0.016706,0.018707,-0.001937,0.017349,-0.021532,0.01004,0.00878,0.001468,I
-0.017014,0.026615,-0.006344,0.022065,-0.02623,0.008713,0.003492,-0.003073,I
-0.017139,0.015371,0.001378,0.013884,-0.013979,-0.001576,0.001358,-0.011255,I
-0.015843,0.010322,0.001321,0.011987,-0.00835,0.003909,0.001667,-0.01114,I
-0.019105,0.00493,0.013772,0.011558,-0.005907,-0.006582,-0.004981,-0.009878,I
-0.023102,0.00427,0.011917,0.021328,-0.008893,-0.019057,-0.017941,-0.024899,I
-0.013508,0.00606,0.009368,0.01009,-0.004454,0.000211,0.001573,-0.012,I
-0.01098,0.01686,-0.005473,0.019045,-0.009322,0.005714,0.004465,-0.016034,I
-0.018889,0.014563,-0.010236,0.000412,-0.006908,0.005874,0.005027,-0.006567,I
-0.020628,0.016793,-0.002905,-0.000204,-0.01058,0.003981,0.002386,-0.001766,I
-0.005646,-0.0217,-0.018627,-0.007007,-0.010332,0.003084,-0.000959,-0.006294,M
0.000622,-0.003959,0.010672,0.003067,0.009816,-0.004735,-0.020675,0.007799,F
-0.001844,-0.000461,-0.002913,-0.01431,-0.007307,-0.007953,-0.023622,-0.011662,F
0.014126,-0.005267,-0.0125,0.001127,-0.0068,-0.021333,0.000421,-0.026356,M
-0.003929,-0.011419,-0.001544,-0.012518,-0.01257,0.010083,-0.02451,-0.014617,M
-0.001163,-0.004298,0.014757,-0.022968,-0.024388,-0.00173,-0.041503,-0.023679,M
0.015274,0.005816,-0.009522,-0.018371,-0.004914,0.036439,-0.005198,-0.01967,M
0.015867,-0.000942,-0.000633,0.003822,-0.005717,-0.030011,-0.008819,-0.009288,F
0.004693,-0.006894,-0.010472,0.004387,0.005991,-0.013771,-0.004348,-0.01351,F
0.019463,0.015911,-0.025776,-0.003863,0.010735,0.0035,0.002004,-0.03889,F
0.008614,-0.009745,0.020678,0.002028,0.004958,0.000813,-0.003358,-0.005519,F
-0.008623,-0.010072,-0.022842,-0.007625,-0.00902,-0.012869,0.017008,-0.006907,M
-0.010651,0.025567,-0.011079,0.025652,-0.021014,0.015355,0.00966,-0.006438,I
-0.021025,0.019243,-0.003728,0.015383,-0.021949,0.005502,0.002147,0.000665,M
-0.005329,0.00728,-0.015271,0.010765,0.00867,-0.009151,-0.006725,-0.023008,F
0.01266,0.012641,-0.017011,-0.000497,0.003846,-0.018886,-0.003184,-0.04342,M
-0.016529,0.01599,-0.007757,0.004013,-0.009423,0.002368,-0.00155,-0.008224,M
0.008824,0.020761,-0.001872,-0.026874,-0.011996,0.025521,-0.000896,-0.01548,M
-0.010206,0.000541,0.004997,0.000858,0.001818,-0.004942,-0.01461,-0.023285,F
0.04575,0.018423,0.015933,-0.055881,-0.085927,-0.056354,0.019284,-0.036368,F
0.004172,-0.006394,-0.027807,-0.019331,-0.013052,-0.011561,-0.00309,-0.034328,M
0.005505,-0.00487,-0.002609,-0.04041,-0.027207,-0.014766,0.013203,-0.002302,M
0.003379,-0.003038,-0.023939,-0.024914,-0.031258,-0.018633,-0.003954,-0.002506,M
0.045209,0.012462,0.020961,-0.030631,-0.025401,0.000682,0.019079,-0.021286,M
0.020545,0.004393,0.003392,-0.007076,-0.038843,-0.020024,-0.057917,-0.023905,M
0.026001,-0.005181,0.008088,-0.029708,-0.019705,0.030936,-0.003108,-0.001509,F
-0.003371,-0.026994,-0.020437,-0.029262,-0.066649,0.048571,-0.046726,-0.005444,M
0.00969,-0.006328,-0.011868,-0.01238,-0.020937,-0.036589,-0.018439,-0.032895,M
0.004286,-0.005976,-0.006704,-0.003247,0.002271,0.014959,0.00245,-0.023363,F
-0.014878,-0.003026,0.005181,-0.026285,-0.010926,-0.005837,-0.023785,-0.006702,F
-0.012731,0.014672,-0.00762,0.001186,-0.004674,0.005898,0.008867,-0.009798,I
-0.008375,-0.000347,0.001479,-0.003278,0.003223,0.006703,0.006043,-0.007961,F
-0.005512,-0.002885,0.001745,-0.006397,-0.002126,-0.001897,-0.012652,-0.027977,M
-0.006338,0.008321,0.018281,-0.02933,-0.035594,-0.019913,-0.010536,0.009177,M
-0.003723,-0.003194,-0.007844,-0.023743,-0.017424,0.002806,0.013995,0.003784,F
0.000573,0.003649,-0.013498,-0.013483,0.013168,0.002555,0.007351,-0.018237,M
-0.014104,-0.003942,0.002763,-0.008877,0.002093,-0.024214,-0.02194,-0.033482,F
0.002431,0.010003,0.00208,-0.016658,-0.012725,0.014518,0.011643,-0.015541,M
0.002933,0.00441,-0.013212,-0.015309,0.00224,0.001488,0.009643,-0.012811,F
-0.014237,-0.013221,-0.010588,-0.005367,-0.010984,-0.01339,-0.027371,-0.021507,M
0.016098,0.021819,-0.052378,-0.018388,-0.008989,-0.004166,0.00117,-0.035418,F
0.009467,-0.003872,0.01346,-0.014589,-0.006775,-0.026133,-0.000379,-0.009905,M
-0.00459,-0.015289,0.00511,-0.014306,-0.016465,-0.017728,-0.022295,-0.030317,F
-0.009388,-0.017415,0.015966,-0.017276,-0.004007,-0.036668,-0.057356,-0.055467,M
-0.022006,0.015176,-0.001299,0.011319,-0.017264,0.004139,0.005534,0.003735,I
-0.019463,0.017414,-0.002647,0.01776,-0.019024,0.005748,0.003684,-0.001257,I
-0.018231,0.02244,-0.009345,0.009099,-0.018204,0.011032,0.013139,0.004491,I
-0.006172,0.003084,-0.005998,-0.008697,0.011257,-0.009653,0.005518,-0.020173,M
-0.020556,0.00559,0.002077,0.003286,-0.004155,-0.003073,0.000755,-0.006752,M
